1yr,2yr,3yr,4yr,5yr,7yr,10yr,30yr
0.0677,0.0671,0.0671,0.0674,0.0677,0.0685,0.0693,0.0702
0.0675,0.0668,0.0669,0.0672,0.0675,0.0682,0.069,0.0699
0.0678,0.0674,0.0675,0.0678,0.0681,0.0688,0.0696,0.0702
0.0678,0.0675,0.0677,0.0681,0.0685,0.0692,0.0701,0.0705
0.0679,0.0676,0.0678,0.0681,0.0685,0.0692,0.0701,0.0704
0.0678,0.0676,0.0678,0.0681,0.0685,0.0692,0.07,0.0705
0.0674,0.0669,0.0671,0.0675,0.0679,0.0687,0.0697,0.0704
0.0671,0.0666,0.0668,0.0672,0.0676,0.0684,0.0695,0.0703
0.0668,0.0663,0.0665,0.067,0.0674,0.0683,0.0693,0.0701
0.0669,0.0665,0.0667,0.067,0.0674,0.0682,0.0692,0.07
0.0668,0.0663,0.0665,0.0668,0.0672,0.0679,0.0689,0.0697
0.0663,0.0657,0.0658,0.0662,0.0666,0.0675,0.0686,0.0696
0.0664,0.0657,0.0659,0.0661,0.0665,0.0671,0.068,0.0688
0.0665,0.0659,0.066,0.0662,0.0665,0.0671,0.0679,0.0686
0.0665,0.0657,0.0657,0.0659,0.0661,0.0667,0.0674,0.0682
0.0666,0.0659,0.0659,0.0661,0.0663,0.0668,0.0675,0.0681
0.0665,0.0659,0.0659,0.0662,0.0664,0.067,0.0677,0.0685
0.0667,0.0661,0.0662,0.0664,0.0667,0.0673,0.0679,0.0684
0.0669,0.0663,0.0665,0.0667,0.067,0.0676,0.0681,0.0686
0.0671,0.0667,0.0668,0.0672,0.0676,0.0681,0.0686,0.0687
0.0669,0.0664,0.0667,0.067,0.0673,0.0678,0.0683,0.0687
0.0667,0.0661,0.0664,0.0668,0.0672,0.0679,0.0686,0.0692
0.0666,0.0659,0.0662,0.0666,0.067,0.0676,0.0682,0.0686
0.0669,0.0663,0.0666,0.067,0.0675,0.0681,0.0688,0.0691
0.0671,0.0667,0.0671,0.0676,0.068,0.0688,0.0695,0.0699
0.0671,0.0666,0.067,0.0676,0.068,0.0688,0.0695,0.07
0.0672,0.0668,0.0672,0.0677,0.0682,0.069,0.0698,0.07
0.067,0.0664,0.0668,0.0672,0.0677,0.0685,0.0693,0.0697
0.0667,0.0662,0.0665,0.0671,0.0677,0.0685,0.0694,0.07
0.0664,0.0658,0.0661,0.0667,0.0672,0.0681,0.0691,0.0698
0.0667,0.066,0.0664,0.0669,0.0673,0.0681,0.069,0.0697
0.0666,0.0659,0.0662,0.0667,0.0671,0.0678,0.0686,0.0693
0.0665,0.0657,0.066,0.0664,0.0668,0.0675,0.0682,0.0688
0.0665,0.0657,0.0659,0.0664,0.0668,0.0675,0.0683,0.0691
0.0663,0.0655,0.0658,0.0663,0.0668,0.0675,0.0683,0.069
0.0664,0.0657,0.066,0.0665,0.067,0.0677,0.0684,0.0692
0.0661,0.0653,0.0656,0.0661,0.0666,0.0673,0.0681,0.0687
0.0663,0.0656,0.0659,0.0664,0.0668,0.0674,0.0681,0.0686
0.0663,0.0655,0.0658,0.0663,0.0667,0.0674,0.068,0.0686
0.066,0.0651,0.0654,0.0658,0.0663,0.0669,0.0677,0.0686
0.0656,0.0647,0.0649,0.0654,0.0658,0.0666,0.0675,0.0684
0.0649,0.0638,0.0641,0.0646,0.0651,0.0659,0.0667,0.0677
0.0648,0.0638,0.064,0.0644,0.0648,0.0656,0.0664,0.0674
0.0645,0.0634,0.0636,0.0641,0.0646,0.0654,0.0663,0.0672
0.0639,0.0628,0.063,0.0636,0.0641,0.0649,0.0658,0.067
0.0632,0.062,0.0621,0.0625,0.0629,0.0636,0.0644,0.0659
0.0631,0.0619,0.062,0.0623,0.0626,0.0633,0.0641,0.0656
0.063,0.0617,0.0617,0.062,0.0622,0.0628,0.0634,0.0648
0.0633,0.0621,0.0621,0.0623,0.0626,0.0631,0.0637,0.0649
0.0633,0.0623,0.0623,0.0626,0.0628,0.0633,0.0638,0.0648
0.0626,0.0615,0.0615,0.0617,0.0619,0.0623,0.0629,0.0642
0.0619,0.0605,0.0604,0.0605,0.0606,0.061,0.0614,0.0629
0.0619,0.0605,0.0605,0.0607,0.0608,0.0612,0.0617,0.0629
0.0612,0.0596,0.0595,0.0596,0.0598,0.0601,0.0606,0.0622
0.0615,0.0602,0.0603,0.0606,0.0609,0.0614,0.0621,0.0635
0.0607,0.0592,0.0593,0.0596,0.0599,0.0604,0.0611,0.0628
0.06,0.0587,0.0587,0.059,0.0593,0.0599,0.0607,0.0625
0.0594,0.0581,0.0583,0.0587,0.0591,0.0597,0.0605,0.0623
0.0593,0.058,0.0582,0.0586,0.059,0.0597,0.0604,0.0622
0.0597,0.0587,0.0589,0.0593,0.0597,0.0603,0.061,0.0625
0.0599,0.0592,0.0596,0.0601,0.0605,0.0611,0.0619,0.0631
0.0595,0.0585,0.0589,0.0594,0.0598,0.0605,0.0613,0.0628
0.0581,0.0568,0.0571,0.0574,0.0579,0.0585,0.0595,0.0618
0.0577,0.0566,0.0569,0.0573,0.0578,0.0584,0.0592,0.0613
0.0548,0.0551,0.0561,0.0571,0.0578,0.0588,0.06,0.0621
0.0535,0.0538,0.0548,0.0558,0.0564,0.0576,0.059,0.0615
0.0527,0.0527,0.0536,0.0544,0.055,0.0562,0.0577,0.0603
0.0533,0.0534,0.0542,0.055,0.0557,0.057,0.0585,0.0611
0.0537,0.0538,0.0547,0.0555,0.0562,0.0575,0.059,0.0613
0.0539,0.0542,0.0553,0.0562,0.057,0.0582,0.0596,0.0617
0.0548,0.0554,0.0566,0.0577,0.0585,0.0598,0.0612,0.0634
0.0547,0.0553,0.0565,0.0576,0.0584,0.0597,0.0613,0.0636
0.0549,0.0555,0.0566,0.0575,0.0582,0.0595,0.0608,0.0629
0.0533,0.0538,0.0549,0.0559,0.0566,0.0581,0.0596,0.0621
0.0527,0.0534,0.0549,0.056,0.057,0.0585,0.0601,0.0626
0.0529,0.0541,0.0557,0.057,0.0581,0.0596,0.0613,0.0634
0.0526,0.0536,0.0552,0.0565,0.0575,0.0591,0.0608,0.0635
0.0536,0.0547,0.0563,0.0575,0.0585,0.06,0.0617,0.0643
0.0542,0.0553,0.0569,0.0582,0.0591,0.0605,0.0622,0.0647
0.0532,0.0543,0.0559,0.0571,0.0581,0.0596,0.0613,0.0638
0.0526,0.054,0.0555,0.0568,0.0578,0.0593,0.0611,0.064
0.052,0.0531,0.0548,0.0561,0.0572,0.0588,0.0605,0.0636
0.0517,0.053,0.0546,0.0559,0.057,0.0585,0.0601,0.0627
0.051,0.0516,0.0531,0.0543,0.0552,0.0569,0.0586,0.0615
0.0519,0.0529,0.0543,0.0555,0.0563,0.058,0.0595,0.0624
0.0518,0.0529,0.0544,0.0556,0.0565,0.0582,0.0597,0.0625
0.0522,0.0535,0.055,0.0563,0.0574,0.059,0.0605,0.0631
0.0519,0.0531,0.0547,0.0559,0.0569,0.0585,0.0601,0.0626
0.0523,0.0537,0.0554,0.0567,0.0577,0.0593,0.0608,0.0634
0.0518,0.0529,0.0545,0.0558,0.0568,0.0583,0.0598,0.0625
0.0516,0.0527,0.0542,0.0554,0.0564,0.0581,0.0596,0.0626
0.0517,0.0529,0.0544,0.0555,0.0565,0.0581,0.0596,0.0625
0.0523,0.0535,0.055,0.0563,0.0572,0.0588,0.0602,0.0629
0.0533,0.0549,0.0564,0.0578,0.0588,0.0602,0.0617,0.0641
0.0523,0.0537,0.0553,0.0566,0.0576,0.0592,0.0609,0.0636
0.0521,0.0534,0.055,0.0563,0.0574,0.059,0.0606,0.0634
0.0516,0.0529,0.0546,0.056,0.0571,0.0588,0.0604,0.0632
0.0512,0.0526,0.0545,0.056,0.0571,0.0589,0.0607,0.0635
0.0506,0.0521,0.054,0.0556,0.0569,0.0588,0.0607,0.0637
0.0497,0.0515,0.0536,0.0553,0.0566,0.0586,0.0607,0.0636
0.0489,0.0506,0.0525,0.054,0.0552,0.057,0.0587,0.062
0.0494,0.0508,0.0527,0.0541,0.0551,0.0569,0.0584,0.0617
0.0491,0.0505,0.0522,0.0535,0.0546,0.0562,0.0576,0.0607
0.0493,0.0507,0.0526,0.0539,0.055,0.0566,0.058,0.061
0.0496,0.0513,0.0532,0.0546,0.0558,0.0574,0.059,0.0619
0.0496,0.0513,0.0532,0.0547,0.0559,0.0575,0.059,0.0616
0.0492,0.0509,0.0528,0.0543,0.0554,0.0571,0.0587,0.0615
0.0486,0.0501,0.0521,0.0535,0.0547,0.0564,0.0579,0.0607
0.0491,0.0508,0.0527,0.0542,0.0554,0.0571,0.0585,0.0611
0.0489,0.0505,0.0526,0.0541,0.0553,0.0571,0.0586,0.0612
0.0488,0.0505,0.0527,0.0543,0.0556,0.0574,0.059,0.0618
0.048,0.0499,0.052,0.0537,0.055,0.0569,0.0586,0.0614
0.0472,0.049,0.0512,0.0529,0.0542,0.0562,0.058,0.0612
0.0465,0.0483,0.0506,0.0522,0.0534,0.0553,0.057,0.0606
0.047,0.049,0.0512,0.0528,0.054,0.0559,0.0576,0.0609
0.0473,0.0493,0.0515,0.0531,0.0543,0.0562,0.0579,0.0611
0.0461,0.0479,0.0501,0.0518,0.0531,0.055,0.0569,0.0606
0.0456,0.0473,0.0495,0.0513,0.0525,0.0545,0.0565,0.0601
0.046,0.0478,0.0501,0.0518,0.0532,0.0552,0.0571,0.0608
0.0466,0.0484,0.0508,0.0526,0.054,0.0561,0.058,0.0616
0.0471,0.0493,0.0517,0.0535,0.055,0.0572,0.059,0.0624
0.0471,0.0493,0.0517,0.0536,0.055,0.0572,0.0591,0.0627
0.0469,0.0492,0.0517,0.0536,0.0551,0.0574,0.0593,0.0631
0.046,0.048,0.0507,0.0527,0.0542,0.0565,0.0586,0.0628
0.0464,0.0486,0.0513,0.0532,0.0547,0.057,0.0591,0.0631
0.046,0.0481,0.0508,0.0527,0.0543,0.0566,0.0589,0.0631
0.0456,0.0478,0.0505,0.0525,0.054,0.0563,0.0587,0.0631
0.0455,0.0478,0.0506,0.0525,0.0541,0.0564,0.0587,0.0631
0.0449,0.0471,0.0498,0.0518,0.0533,0.0556,0.058,0.0627
0.0448,0.047,0.0498,0.0518,0.0534,0.0558,0.0583,0.0629
0.0453,0.0476,0.0503,0.0524,0.054,0.0566,0.059,0.0637
0.0465,0.049,0.0519,0.0539,0.0555,0.0579,0.0601,0.064
0.0462,0.0487,0.0516,0.0536,0.0552,0.0576,0.0601,0.0641
0.047,0.0497,0.0527,0.0547,0.0564,0.0586,0.0608,0.0642
0.0476,0.0503,0.0532,0.0552,0.0567,0.0591,0.0613,0.0648
0.0462,0.0494,0.0523,0.0547,0.0564,0.0589,0.0614,0.065
0.0442,0.0477,0.051,0.0532,0.055,0.0576,0.0603,0.0645
0.044,0.0477,0.0512,0.0535,0.0553,0.0579,0.0606,0.0648
0.0434,0.0473,0.0507,0.053,0.0548,0.0576,0.0603,0.0649
0.0435,0.0474,0.0509,0.0533,0.0551,0.0579,0.0607,0.0652
0.0434,0.0473,0.0507,0.0531,0.0549,0.0578,0.0605,0.0649
0.0437,0.0477,0.0511,0.0535,0.0552,0.058,0.0606,0.0647
0.044,0.048,0.0514,0.0538,0.0556,0.0583,0.0609,0.065
0.0447,0.0488,0.0522,0.0546,0.0564,0.059,0.0616,0.0652
0.0441,0.0483,0.0518,0.0542,0.056,0.0586,0.0612,0.0648
0.0439,0.0482,0.0516,0.054,0.0558,0.0584,0.0609,0.0646
0.0439,0.048,0.0513,0.0535,0.0551,0.0576,0.06,0.0636
0.0428,0.0468,0.0502,0.0524,0.0542,0.0568,0.0595,0.0637
0.0426,0.0468,0.0504,0.0529,0.0548,0.0573,0.06,0.0639
0.0419,0.0461,0.0498,0.0523,0.0542,0.0569,0.0597,0.0637
0.0418,0.0461,0.0499,0.0525,0.0544,0.0571,0.0599,0.0638
0.0422,0.0466,0.0503,0.0528,0.0547,0.0573,0.0599,0.0639
0.0431,0.0479,0.052,0.0547,0.0567,0.0593,0.0621,0.0656
0.0431,0.0481,0.0523,0.055,0.057,0.0597,0.0624,0.0658
0.0433,0.0486,0.0528,0.0555,0.0575,0.0602,0.0627,0.0658
0.0422,0.0477,0.0522,0.0551,0.0573,0.0602,0.0629,0.0659
0.0429,0.0484,0.0527,0.0555,0.0574,0.0601,0.0625,0.0652
0.0434,0.049,0.0529,0.0554,0.0571,0.0595,0.0616,0.0646
0.0436,0.0492,0.0531,0.0556,0.0574,0.0598,0.062,0.0651
0.0433,0.0488,0.0528,0.0552,0.0569,0.0593,0.0614,0.0647
0.0431,0.0485,0.0525,0.055,0.0568,0.0593,0.0616,0.0649
0.0427,0.0481,0.0522,0.0549,0.0567,0.0593,0.0618,0.0654
0.043,0.0489,0.0531,0.0558,0.0577,0.0603,0.0628,0.0657
0.0425,0.0485,0.0528,0.0556,0.0575,0.0602,0.0627,0.0657
0.0426,0.0488,0.0532,0.056,0.058,0.0607,0.0631,0.0661
0.0421,0.0479,0.0522,0.055,0.057,0.0596,0.0621,0.0655
0.0415,0.0471,0.0515,0.0543,0.0563,0.0589,0.0612,0.0644
0.0419,0.0476,0.0518,0.0546,0.0565,0.059,0.0611,0.0642
0.0417,0.0472,0.0514,0.0541,0.056,0.0585,0.0606,0.064
0.0418,0.0473,0.0516,0.0542,0.0561,0.0585,0.0606,0.064
0.0415,0.047,0.0512,0.054,0.0559,0.0584,0.0605,0.0642
0.0415,0.0472,0.0516,0.0544,0.0564,0.0589,0.0611,0.0646
0.0412,0.047,0.0514,0.0543,0.0562,0.0587,0.0609,0.0643
0.0411,0.0467,0.0509,0.0537,0.0557,0.0582,0.0604,0.064
0.0412,0.0468,0.0511,0.0539,0.0559,0.0585,0.0606,0.064
0.0404,0.0458,0.0501,0.053,0.055,0.0577,0.0601,0.0636
0.0402,0.0456,0.0501,0.0531,0.0552,0.0581,0.0606,0.0643
0.0397,0.0454,0.0501,0.0532,0.0554,0.0583,0.0608,0.0644
0.0397,0.0457,0.0505,0.0536,0.0559,0.0589,0.0614,0.0649
0.0395,0.0453,0.05,0.0532,0.0554,0.0583,0.0608,0.0645
0.0393,0.0451,0.0497,0.0528,0.0549,0.0578,0.0602,0.0638
0.0394,0.0452,0.0498,0.0528,0.0548,0.0576,0.06,0.0635
0.0391,0.0448,0.0494,0.0525,0.0546,0.0574,0.0598,0.0634
0.0395,0.0454,0.0499,0.053,0.0551,0.0579,0.0602,0.0637
0.0393,0.0452,0.05,0.0532,0.0554,0.0583,0.0606,0.0639
0.0412,0.0471,0.0516,0.0545,0.0565,0.059,0.0609,0.0637
0.0423,0.0488,0.0535,0.0564,0.0585,0.061,0.0631,0.0656
0.0418,0.0481,0.0528,0.0558,0.0579,0.0605,0.0627,0.0655
0.0417,0.048,0.0526,0.0556,0.0577,0.0603,0.0625,0.0654
0.0417,0.0481,0.0529,0.0559,0.0579,0.0605,0.0626,0.0654
0.0411,0.0474,0.0522,0.0553,0.0574,0.0601,0.0624,0.0653
0.0408,0.0472,0.052,0.0551,0.0573,0.0599,0.0621,0.065
0.0406,0.0466,0.0514,0.0545,0.0567,0.0593,0.0616,0.0648
0.0399,0.0461,0.0509,0.0541,0.0562,0.0589,0.0612,0.0645
0.0403,0.0466,0.0514,0.0545,0.0565,0.0592,0.0614,0.0647
0.0404,0.0467,0.0514,0.0544,0.0565,0.0591,0.0612,0.0643
0.0404,0.0465,0.0512,0.0541,0.0561,0.0586,0.0607,0.0639
0.0403,0.0464,0.0509,0.0539,0.0558,0.0584,0.0604,0.0637
0.0395,0.0453,0.05,0.053,0.0551,0.0577,0.0599,0.0631
0.0393,0.0451,0.0497,0.0527,0.0548,0.0573,0.0594,0.0628
0.039,0.0449,0.0496,0.0527,0.0548,0.0573,0.0593,0.0628
0.0391,0.0449,0.0496,0.0526,0.0546,0.0572,0.0593,0.0628
0.0391,0.0448,0.0495,0.0525,0.0546,0.0571,0.0592,0.0626
0.0392,0.0449,0.0495,0.0526,0.0547,0.0573,0.0594,0.0628
0.039,0.0446,0.0492,0.0524,0.0547,0.0575,0.0597,0.0632
0.0386,0.0438,0.0484,0.0517,0.0541,0.0568,0.059,0.0626
0.0384,0.0438,0.0484,0.0516,0.0539,0.0568,0.0591,0.0627
0.0382,0.0432,0.0478,0.051,0.0532,0.0561,0.0585,0.0624
0.0383,0.0435,0.0481,0.0513,0.0536,0.0565,0.0588,0.0625
0.0384,0.0439,0.0485,0.0517,0.054,0.0568,0.0591,0.0628
0.0385,0.0444,0.0491,0.0523,0.0547,0.0576,0.0598,0.0632
0.0383,0.044,0.0488,0.0522,0.0546,0.0575,0.0598,0.0634
0.0383,0.044,0.0488,0.0521,0.0545,0.0573,0.0596,0.0631
0.0382,0.0437,0.0485,0.0519,0.0543,0.0572,0.0596,0.0631
0.0373,0.0426,0.0473,0.0506,0.053,0.0558,0.0582,0.0619
0.037,0.0424,0.0473,0.0507,0.0531,0.056,0.0583,0.0619
0.0369,0.042,0.0468,0.0501,0.0524,0.0554,0.0578,0.0616
0.0371,0.0425,0.0472,0.0505,0.0528,0.0557,0.0581,0.062
0.0377,0.0432,0.0478,0.0509,0.0532,0.056,0.0582,0.062
0.0376,0.0431,0.0477,0.051,0.0532,0.0559,0.0581,0.062
0.0368,0.0422,0.0469,0.05,0.0522,0.055,0.0573,0.0614
0.0371,0.0426,0.0473,0.0505,0.0527,0.0555,0.0577,0.0617
0.0372,0.0428,0.0475,0.0506,0.0528,0.0555,0.0577,0.0615
0.0368,0.0424,0.0471,0.0503,0.0525,0.0554,0.0577,0.0616
0.0368,0.0424,0.047,0.0501,0.0522,0.055,0.0574,0.0611
0.0372,0.0428,0.0475,0.0505,0.0526,0.0555,0.0579,0.0614
0.0372,0.0428,0.0474,0.0504,0.0525,0.0554,0.0577,0.0614
0.0365,0.0419,0.0465,0.0495,0.0516,0.0544,0.0568,0.0609
0.0361,0.0414,0.046,0.049,0.0511,0.0538,0.056,0.0602
0.0359,0.041,0.0456,0.0487,0.0508,0.0535,0.0557,0.06
0.0359,0.0412,0.0459,0.0492,0.0514,0.0542,0.0566,0.0605
0.0374,0.0429,0.0474,0.0505,0.0528,0.0555,0.0579,0.0613
0.0373,0.0427,0.0473,0.0504,0.0527,0.0555,0.0578,0.0613
0.0366,0.0419,0.0465,0.0496,0.0519,0.0548,0.0572,0.0609
0.035,0.0401,0.0447,0.0478,0.0502,0.0531,0.0556,0.0598
0.0347,0.0402,0.0449,0.0482,0.0506,0.0536,0.0562,0.0605
0.0306,0.0362,0.0414,0.0451,0.0475,0.0513,0.0545,0.0604
0.0301,0.0361,0.0414,0.045,0.0476,0.0513,0.0542,0.06
0.0293,0.0363,0.0418,0.0455,0.0482,0.052,0.0551,0.061
0.0278,0.0347,0.0402,0.0441,0.0469,0.051,0.0545,0.0609
0.0276,0.0348,0.0403,0.0441,0.0468,0.0509,0.0544,0.0606
0.0273,0.0346,0.0401,0.0437,0.0464,0.0504,0.0541,0.0609
0.0276,0.0348,0.0402,0.044,0.0467,0.0507,0.0543,0.0609
0.0268,0.0339,0.0394,0.043,0.0458,0.0499,0.0536,0.0602
0.0269,0.034,0.0396,0.0433,0.0461,0.0502,0.0537,0.0603
0.0263,0.0329,0.0384,0.0422,0.045,0.0491,0.0526,0.0594
0.0271,0.0336,0.0389,0.0426,0.0462,0.049,0.0523,0.0588
0.0268,0.0335,0.0389,0.0427,0.0454,0.0492,0.0525,0.0592
0.0266,0.0333,0.0387,0.0425,0.0453,0.0489,0.0521,0.0584
0.0255,0.0321,0.0377,0.0417,0.0444,0.0482,0.0515,0.0575
0.0256,0.0323,0.0381,0.042,0.0447,0.0483,0.0515,0.0579
0.025,0.0317,0.0377,0.0417,0.0446,0.0484,0.0517,0.0579
0.0252,0.032,0.038,0.0421,0.0451,0.0492,0.0526,0.0587
0.0256,0.0325,0.0385,0.0426,0.0456,0.0496,0.0531,0.0589
0.0261,0.0332,0.0391,0.0432,0.0462,0.0502,0.0536,0.0592
0.0262,0.0333,0.0394,0.0435,0.0465,0.0506,0.0539,0.0595
0.0257,0.0328,0.0388,0.043,0.046,0.05,0.0534,0.0594
0.0254,0.0324,0.0383,0.0423,0.0453,0.0493,0.0526,0.0588
0.0258,0.0326,0.0385,0.0425,0.0453,0.0493,0.0527,0.0587
0.0255,0.0326,0.0385,0.0424,0.0453,0.0492,0.0525,0.0584
0.025,0.0319,0.0379,0.042,0.0449,0.049,0.0524,0.0584
0.0253,0.0323,0.0382,0.0423,0.0453,0.0493,0.0527,0.0585
0.0254,0.0326,0.0386,0.0428,0.0458,0.0499,0.0532,0.059
0.0251,0.0322,0.0383,0.0425,0.0455,0.0496,0.0529,0.0586
0.0241,0.0309,0.0371,0.0414,0.0445,0.0487,0.0521,0.0581
0.0241,0.0309,0.0372,0.0416,0.0448,0.0489,0.0523,0.0584
0.0237,0.0303,0.0365,0.0409,0.0439,0.048,0.0514,0.0575
0.0228,0.0293,0.0354,0.0399,0.0431,0.0473,0.0509,0.0573
0.0232,0.0298,0.0359,0.0404,0.0435,0.0476,0.0508,0.056
0.0232,0.029,0.0347,0.0387,0.0417,0.0452,0.0478,0.0535
0.0228,0.0292,0.0352,0.0395,0.0427,0.0465,0.0497,0.0554
0.0225,0.029,0.0352,0.0397,0.0428,0.0467,0.05,0.0556
0.0226,0.0293,0.0353,0.0396,0.0425,0.0462,0.0492,0.0547
0.0208,0.0272,0.0333,0.0377,0.0407,0.0447,0.048,0.0542
0.0213,0.0278,0.034,0.0383,0.0413,0.0453,0.0486,0.0546
0.0215,0.0282,0.0344,0.0387,0.0417,0.0456,0.0487,0.0546
0.022,0.0291,0.0353,0.0397,0.0427,0.0466,0.0497,0.0551
0.0226,0.0301,0.0363,0.0405,0.0434,0.0472,0.0501,0.0554
0.0245,0.0326,0.0387,0.0428,0.0457,0.0492,0.0521,0.0569
0.0258,0.0345,0.0409,0.045,0.0478,0.0514,0.0543,0.0587
0.0254,0.0339,0.0405,0.0448,0.0479,0.0516,0.0544,0.0586
0.0249,0.0332,0.0398,0.0442,0.0473,0.0512,0.0543,0.0588
0.0263,0.0354,0.0421,0.0467,0.0498,0.0535,0.0566,0.0606
0.0267,0.0358,0.0425,0.0468,0.0498,0.0535,0.0564,0.0602
0.0262,0.0354,0.0421,0.0464,0.0493,0.0529,0.0557,0.0598
0.0274,0.0373,0.044,0.0483,0.0511,0.0547,0.0575,0.0612
0.0248,0.0342,0.0412,0.0458,0.0488,0.0525,0.0556,0.0603
0.0249,0.0349,0.042,0.0465,0.0495,0.0533,0.0563,0.0607
0.0238,0.0334,0.0404,0.0448,0.0477,0.0516,0.0546,0.0594
0.0235,0.0331,0.04,0.0443,0.0473,0.0512,0.0544,0.0596
0.0235,0.0329,0.0395,0.0438,0.0466,0.0504,0.0535,0.0587
